"","mukey","sl_length"
"290","106666","68.0"
"291","106668","84.0"
"292","106669","99.0"
"293","106670","84.0"
"294","106671","84.0"
"295","106672","30.0"
"296","106673","30.0"
"297","106674","84.0"
"298","106675","33.0"
"299","106676","68.0"
"300","106677","68.0"
"301","106678","33.0"
"302","106679","45.0"
"303","106680","84.0"
"304","106681","68.0"
"305","106682","68.0"
"306","106683","99.0"
"307","106684","60.0"
"308","106685","30.0"
"309","106686","99.0"
"310","106688","99.0"
"311","106689","91.0"
"312","106690","68.0"
"313","106691","68.0"
"314","106692","91.0"
"315","106693","68.0"
"316","106694","68.0"
"317","106695","84.0"
"318","106696","68.0"
"319","106697","84.0"
"320","106698","33.0"
"321","106699","68.0"
"322","106700","54.0"
"323","106701","37.0"
"324","106702","33.0"
"325","106703","68.0"
"326","106704","53.0"
"327","106705","84.0"
"328","106706","53.0"
"329","106707","33.0"
"330","106708","99.0"
"331","106709","99.0"
"332","106710","99.0"
"333","106711","91.0"
"334","106712","84.0"
"335","106713","106.0"
"336","106714","84.0"
"337","106715","68.0"
"338","106720","84.0"
"339","106721","99.0"
"340","106722","68.0"
"341","106723","84.0"
"342","106724","68.0"
"343","106725","68.0"
"344","106726","99.0"
"345","106727","99.0"
"346","106728","30.0"
"347","106729","0.0"
"348","106730","99.0"
"349","106731","99.0"
"350","106732","99.0"
"351","106733","84.0"
"352","106734","53.0"
"353","106735","99.0"
"354","106736","84.0"
"355","106737","99.0"
"356","106738","99.0"
"357","106739","84.0"
"358","106740","99.0"
"359","106741","99.0"
"360","106742","99.0"
"361","106744","0.0"
"362","106745","0.0"
"363","106746","33.0"
"364","106747","0.0"
"365","106748","33.0"
"366","106749","84.0"
"367","106750","68.0"
"368","106751","68.0"
"369","106752","99.0"
"370","106753","84.0"
"371","106754","99.0"
"372","106755","84.0"
"373","106756","68.0"
"374","106757","62.0"
"375","106758","91.0"
"376","106759","68.0"
"377","106760","68.0"
"378","106761","53.0"
"379","106762","68.0"
"380","106763","68.0"
"381","106764","33.0"
"382","106765","33.0"
"383","106766","68.0"
"384","106767","68.0"
"385","106768","53.0"
"386","106769","33.0"
"387","106770","99.0"
"388","106771","99.0"
"389","106772","84.0"
"390","106773","84.0"
"391","106774","106.0"
"392","106775","99.0"
"393","106776","84.0"
"394","106777","68.0"
"395","106778","68.0"
"396","106779","84.0"
"397","106780","68.0"
"398","106781","99.0"
"399","106782","60.0"
"400","106783","30.0"
"401","106784","0.0"
"402","106785","30.0"
"403","106786","99.0"
"404","106787","99.0"
"405","106788","84.0"
"406","106789","68.0"
"407","106790","99.0"
"408","106791","84.0"
"409","106792","99.0"
"410","106793","0.0"
"411","106794","68.0"
"412","106795","68.0"
"413","106796","33.0"
"414","106797","0.0"
"415","106798","24.0"
"416","106799","33.0"
"417","106800","53.0"
"418","106801","91.0"
"419","106802","68.0"
"420","106803","68.0"
"421","106804","99.0"
"422","106805","68.0"
"423","106806","33.0"
"424","106807","106.0"
"425","106810","84.0"
"426","106811","99.0"
"427","106812","84.0"
"428","106813","84.0"
"429","106814","30.0"
"430","106815","30.0"
"431","106817","33.0"
"432","106818","84.0"
"433","106819","68.0"
"434","106820","68.0"
"435","106821","30.0"
"436","106822","60.0"
"437","106823","60.0"
"438","1144497","33.0"
"439","1146173","84.0"
"440","1146175","99.0"
"441","1155385","55.0"
"442","1155386","33.0"
"443","1155387","33.0"
"444","1155388","38.0"
"445","1155389","61.0"
"446","1380055","53.0"
"447","1380056","68.0"
"448","1380057","84.0"
"449","1381182","30.0"
"450","1383569","46.0"
"451","1383570","84.0"
"452","1385035","33.0"
"453","1407456","0.0"
"454","1407457","33.0"
"455","1412912","68.0"
"456","1412962","30.0"
"457","1412965","61.0"
"458","1412987","68.0"
"459","1412994","68.0"
"460","1412998","68.0"
"461","1415775","0.0"
"462","1415776","0.0"
"463","1415777","0.0"
"464","1423144","91.0"
"465","1423145","68.0"
"466","1423146","55.0"
"467","1423147","30.0"
"468","1423148","61.0"
"469","1423149","99.0"
"470","1423150","84.0"
"471","1423151","84.0"
"472","1423152","68.0"
"473","1423153","99.0"
"474","1423154","84.0"
"475","1423155","53.0"
"476","1423156","99.0"
"477","1423157","38.0"
"478","1423158","99.0"
"479","1423159","68.0"
"480","1423160","99.0"
"481","1423161","84.0"
"482","1423162","54.0"
"483","1423164","53.0"
"484","1423171","84.0"
"485","1423172","38.0"
"486","1423173","33.0"
"487","1423174","33.0"
"488","1423178","68.0"
"489","1423181","84.0"
"490","1423182","99.0"
"491","1423183","84.0"
"492","1423185","68.0"
"493","1423192","84.0"
"494","1423193","55.0"
"495","1424254","0.0"
"496","1427092","84.0"
"497","1427093","68.0"
"498","1427094","99.0"
"499","1427096","68.0"
"500","1427097","33.0"
"501","1427098","53.0"
"502","1427099","53.0"
"503","1427100","0.0"
"504","1427102","84.0"
"505","1427103","99.0"
"506","1443758","33.0"
"507","1443759","0.0"
"508","1443760","84.0"
"509","1481083","99.0"
"510","1481084","99.0"
"511","1481085","64.0"
"512","1487116","53.0"
"513","1487117","0.0"
"514","1527690","0.0"
"515","1527691","33.0"
"516","1529482","30.0"
"517","1529483","61.0"
"518","1529484","55.0"
"519","1529488","30.0"
"520","1529490","30.0"
"521","1537045","0.0"
"522","1537046","33.0"
"523","1537047","33.0"
"524","1537048","33.0"
"525","1540924","33.0"
"526","1540925","0.0"
"527","1540926","84.0"
"528","1541840","0.0"
"529","1541841","64.0"
"530","1587476","84.0"
"531","1587477","15.0"
"532","1596229","64.0"
"533","1596230","0.0"
"534","1596660","0.0"
"535","1596661","0.0"
"536","1597524","84.0"
"537","1597525","64.0"
"538","1597526","53.0"
"539","1597527","0.0"
"540","1598688","99.0"
"541","1600058","64.0"
"542","1600060","0.0"
"543","1600061","64.0"
"544","1602092","33.0"
"545","1602093","15.0"
"546","1602094","0.0"
"547","1603540","0.0"
"548","1603541","33.0"
"549","1603721","99.0"
"550","1603779","64.0"
"551","1603780","0.0"
"552","1604037","0.0"
"553","1604038","33.0"
"554","1605237","40.0"
"555","1605239","107.0"
"556","1605891","0.0"
"557","1605892","0.0"
"558","1605894","0.0"
"559","1608784","0.0"
"560","1608785","0.0"
"561","1608786","33.0"
"562","1612636","33.0"
"563","1612637","84.0"
"564","1612660","84.0"
"565","1612667","0.0"
"566","1650290","0.0"
"567","1650291","0.0"
"568","1650292","0.0"
"569","1650293","33.0"
"570","1675893","84.0"
"571","1675901","33.0"
"572","1675908","43.0"
"573","1675911","99.0"
"574","1675913","99.0"
"575","1675914","84.0"
"576","1675916","55.0"
"577","1675936","38.0"
"578","1675942","46.0"
"579","1675948","46.0"
"580","1675953","99.0"
"581","1675971","55.0"
"582","1675977","84.0"
"583","1675978","68.0"
"584","1675984","68.0"
"585","1675985","40.0"
"586","1675987","68.0"
"587","1675988","68.0"
"588","1675989","68.0"
"589","1675990","68.0"
"590","1675991","99.0"
"591","1675992","99.0"
"592","1675993","68.0"
"593","1675994","68.0"
"594","1677021","84.0"
"595","1677022","55.0"
"596","1677023","61.0"
"597","1677024","84.0"
"598","1677027","99.0"
"599","1677028","99.0"
"600","1677029","99.0"
"601","1677031","61.0"
"602","1677033","43.0"
"603","1677315","0.0"
"604","1677318","84.0"
"605","1677319","84.0"
"606","1677321","68.0"
"607","1677323","84.0"
"608","1677325","99.0"
"609","1677327","53.0"
"610","1677329","0.0"
"611","1677333","99.0"
"612","1677334","84.0"
"613","1677338","55.0"
"614","1677344","38.0"
"615","1677347","84.0"
"616","1677355","64.0"
"617","1677356","99.0"
"618","1677367","99.0"
"619","1677368","33.0"
"620","1690260","0.0"
"621","1690261","64.0"
"622","1690262","0.0"
"623","1690263","33.0"
"624","1702176","53.0"
"625","1702177","84.0"
"626","1702178","0.0"
"627","1702179","84.0"
"628","1702180","64.0"
"629","1704200","0.0"
"630","1704201","33.0"
"631","1704202","0.0"
"632","1704823","0.0"
"633","1704824","84.0"
"634","1704825","0.0"
"635","1704826","53.0"
"636","1706291","33.0"
"637","1706292","0.0"
"638","1706293","84.0"
"639","1706294","64.0"
"640","1706295","0.0"
"641","1709771","53.0"
"642","1709772","0.0"
"643","1711663","53.0"
"644","1711664","0.0"
"645","1714833","68.0"
"646","1714836","61.0"
"647","1714837","0.0"
"648","1714838","33.0"
"649","1719167","0.0"
"650","1719169","33.0"
"651","1726168","53.0"
"652","1726417","84.0"
"653","1726418","0.0"
"654","1726419","53.0"
"655","1726533","33.0"
"656","1726534","84.0"
"657","1726535","64.0"
"658","1726536","0.0"
"659","1726537","0.0"
"660","1883785","99.0"
"661","1883786","55.0"
"662","1883787","61.0"
"663","1883793","84.0"
"664","1883795","99.0"
"665","1883796","99.0"
"666","1883799","91.0"
"667","1883801","68.0"
"668","1883802","68.0"
"669","1887283","99.0"
"670","1899368","91.0"
"671","1899370","91.0"
"672","1899376","43.0"
"673","1899406","30.0"
"674","1899589","49.0"
"675","1900482","68.0"
"676","1900485","99.0"
"677","1900516","84.0"
"678","1900517","68.0"
"679","1900521","55.0"
"680","1900526","38.0"
"681","1900532","61.0"
"682","1900533","33.0"
"683","1901417","99.0"
"684","1901761","55.0"
"685","1901762","84.0"
"686","1901763","68.0"
"687","1901764","84.0"
"688","1902107","49.0"
"689","1902110","84.0"
"690","1904844","61.0"
"691","1904852","61.0"
"692","1904855","30.0"
"693","1904856","61.0"
"694","1904857","30.0"
"695","1904859","61.0"
"696","1904861","61.0"
"697","1904862","55.0"
"698","1904863","49.0"
"699","1906390","0.0"
"700","1906391","53.0"
"701","1907375","46.0"
"702","1907378","49.0"
"703","1907379","99.0"
"704","1907380","99.0"
"705","1907382","61.0"
"706","1907384","84.0"
"707","1907385","55.0"
"708","1907386","38.0"
"709","1907387","38.0"
"710","1907645","99.0"
"711","1907647","54.0"
"712","1907648","84.0"
"713","1907649","55.0"
"714","1907650","84.0"
"715","1907651","38.0"
"716","1907654","46.0"
"717","1907679","33.0"
"718","1908245","84.0"
"719","1910057","55.0"
"720","1914084","99.0"
"721","1914087","99.0"
"722","1946661","0.0"
"723","1947699","0.0"
"724","1947800","37.0"
"725","1947953","30.0"
"726","1948531","55.0"
"727","2393991","61.0"
"728","2393993","38.0"
"729","2394137","15.0"
"730","2394158","30.0"
"731","2394159","30.0"
"732","2394280","61.0"
"733","2394282","55.0"
"734","2394284","43.0"
"735","2394431","38.0"
"736","2394435","61.0"
"737","2394460","30.0"
"738","2394517","61.0"
"739","2426010","38.0"
"740","2426012","33.0"
"741","2426014","33.0"
"742","2426015","55.0"
"743","2426018","61.0"
"744","2427057","38.0"
"745","2427058","33.0"
"746","2427059","33.0"
"747","2427060","55.0"
"748","2427061","61.0"
"749","2431272","33.0"
"750","2454859","68.0"
"751","2454862","92.0"
"752","2462705","53.0"
"753","2493321","91.0"
"754","2493322","91.0"
"755","2493323","91.0"
"756","2493454","84.0"
"757","2496099","84.0"
"758","2496100","84.0"
"759","2497653","84.0"
"760","2497657","84.0"
"761","2507761","33.0"
"762","2507762","33.0"
"763","2507763","33.0"
"764","2507764","33.0"
"765","2507765","68.0"
"766","2507766","68.0"
"767","2507767","68.0"
"768","2507768","68.0"
"769","2512713","55.0"
"770","2512714","38.0"
"771","2515278","61.0"
"772","2515287","84.0"
"773","2516345","99.0"
"774","2516346","68.0"
"775","2516348","55.0"
"776","2516349","61.0"
"777","2516350","38.0"
"778","2516351","33.0"
"779","2516352","33.0"
"780","2516353","68.0"
"781","2516354","68.0"
"782","2516355","68.0"
"783","2516357","99.0"
"784","2516358","68.0"
"785","2516359","55.0"
"786","2516360","91.0"
"787","2516361","68.0"
"788","2516362","99.0"
"789","2516363","84.0"
"790","2516364","33.0"
"791","2516365","53.0"
"792","2516366","46.0"
"793","2516367","84.0"
"794","2516370","33.0"
"795","2517541","55.0"
"796","2517545","33.0"
"797","2592639","84.0"
"798","2592640","84.0"
"799","2592641","84.0"
"800","2592642","84.0"
"801","2592643","68.0"
"802","2592644","33.0"
"803","2592645","40.0"
"804","2592646","68.0"
"805","2592647","33.0"
"806","2592648","40.0"
"807","2592649","68.0"
"808","2592650","33.0"
"809","2592651","40.0"
"810","2592652","68.0"
"811","2592653","33.0"
"812","2592654","40.0"
"813","2592655","84.0"
"814","2601949","37.0"
"815","2601950","55.0"
"816","2601959","55.0"
"817","2601962","61.0"
"818","2601963","55.0"
"819","2601964","43.0"
"820","2601976","30.0"
"821","2601977","30.0"
"822","2601982","30.0"
"823","2601985","43.0"
"824","2601990","43.0"
"825","2601991","37.0"
"826","2601994","30.0"
"827","2601995","30.0"
"828","2628661","99.0"
"829","2628668","84.0"
"830","2628669","61.0"
"831","2628671","53.0"
"832","2628672","53.0"
"833","2628674","53.0"
